Number,Call No,Book Title,library id,created by library id,contribution id,Author(s),Publisher,Year Published,Pages,Donated By,Price in Rupees,Image
1,1,A Message of the Gita,,,,M.K.Gandhi,Navajivan trust,1959,56,విజయవాడ,10,/images/books/1.JPG
2,2,తెలుగు రవ్వలు,,,,అరవింద గుప్త,జన విజ్ఞాన వేదిక ,2014,165,విజయవాడ,90,/images/books/2.JPG
3,3,పని కొచ్చే కధలు,,,,మన్నవ గిరిధర రావు,నవయుగ భారతి,2013,208,విజయవాడ,90,/images/books/3.JPG
4,4,పిల్లలు లెక్కలు టీచర్ ,,,,పొ రెడ్డి అశొక్,ఎమెస్కొ బుక్స్,2009,56,విజయవాడ,30,/images/books/4.JPG
5,5,ఇంటి కన్నా బడి పదిలం,,,,వసుంధర,కావ్య పబ్లికింగ్ హ స్,2013,120,విజయవాడ,60,/images/books/5.JPG
6,6,రసాయన శాస్త్రం-1,,,,అసిమోవ్,జన విజ్ఞాన వేదిక ,2014,70,విజయవాడ,30,/images/books/6.JPG
7,7,రసాయన శాస్త్రం-2,,,,అసిమోవ్,జన విజ్ఞాన వేదిక ,2014,95,విజయవాడ,35,/images/books/7.JPG
8,8,రసాయన శాస్త్రం-3,,,,అసిమోవ్,జన విజ్ఞాన వేదిక ,2014,96,విజయవాడ,35,/images/books/8.JPG
9,9,క్రియెటివ్ చిల్ద్రన్స్ (డిక్ష నరీ),,,,అట్లూరి పురుషొత్తము,జన విజ్ఞాన వేదిక ,Jun-05,153,విజయవాడ,60,/images/books/9.JPG
10,10,గణితంలో గమ్మత్తులు,,,,డా. మహిదర్ నలిని మోహన్,విశాలాంద్ర పబ్లికేషన్స్,Jan-09,196,విజయవాడ,100,/images/books/10.JPG
11,11,బాలల గేయాలు,,,,దేవినేని సీతారావమ్మ,దేవినేని సీతరావమ్మ ఫౌండేషన్,Jan-14,22,విజయవాడ,11,/images/books/11.JPG
12,12,పద్యపారిజాతాలు,,,,దేవినేని సీతారావమ్మ,దేవినేని సీతరావమ్మ ఫౌండేషన్,Jan-14,24,విజయవాడ,11,/images/books/12.JPG
13,13,కధా చిత్రాలు బతుకు పుస్తకం,,,,చిలకలపాటి రవీంద్ర కుమార్,దేవినేని సీతరావమ్మ ఫౌండేషన్,Jan-14,51,విజయవాడ,22,/images/books/13.JPG
14,14,నేర్చుకోవడానికి మొదటి పుస్తకం,,,,దేవినేని మధు సూదన్ రావ్,దేవినేని సీతరావమ్మ ఫౌండేషన్,Jul-05,32,విజయవాడ,11,/images/books/14.JPG
15,15,పిల్లలు చెప్పిన కథలు,,,,యమ్.హరి కిషన్,జన విజ్ఞాన వేదిక ,Nov-11,80,విజయవాడ,30,/images/books/15.JPG
16,16,విధిని ఎదురిస్తున్న వీధి,,,,గురజాడ శోభాపేరిందేవి,అభినందన-అప్నా షూర్,Dec-11,126,విజయవాడ,100,/images/books/16.JPG
17,17,మంచి మనిషి,,,,విక్టర్ హ్యూగో,జన విజ్ఞాన వేదిక ,May-04,36,విజయవాడ,12,/images/books/17.JPG
18,18,స్వర్ణ పుష్పాలు,,,,అలపర్తి వెంకట సుబ్బారావ్,మంచి పుస్తకం,Jul-14,64,విజయవాడ,35,/images/books/18.JPG
19,19,కధలంటే మాకిష్టం,,,,,జన విజ్ఞాన వేదిక ,Nov-11,154,విజయవాడ,40,/images/books/19.JPG
20,20,జీవన పోరాటం,,,,గంటీ భాగమతి,నవోదయ బుక్ హౌస్,1/0/1900,306,విజయవాడ,150,/images/books/20.JPG
21,21,తెలంగాణ ఇంటి వంటలు,,,,జ్యోతి వల్లబోజు,నవోదయ బుక్ హోస్,12/22/2013,306,విజయవాడ,30,/images/books/21.JPG
22,22,నాకు నేను తెలిసే,,,,మంచి పుస్తకం,జన విజ్ఞాన వేదిక ,4/4/2014,78,విజయవాడ,120,/images/books/22.JPG
23,23,డా.చిత్తర్వు మధు కధలు,,,,డా.మధు,వాహిని బుక్ ట్రస్ట్,Sep-02,160,విజయవాడ,100,/images/books/23.JPG
24,24,బుడుంగు,,,,డా.దేవరాజు మహారాజు,హైదరాబాద్ బుక్ ట్రస్ట్,Jul-06,40,విజయవాడ,110,/images/books/24.JPG
25,25,చిన్నోడి ప్రయాణం,,,,డా.దేవరాజు మహారాజు,హైదరాబాద్ బుక్ ట్రస్ట్,Jul-06,40,విజయవాడ,100,/images/books/25.JPG
26,26,బంగారు చేప -గంధర్వ కన్య,,,,కె.అనసూయ,జన విజ్ఞాన వేదిక ,Jan-10,44,విజయవాడ,140,/images/books/26.JPG
27,27,మీరు సమాజం నుండి ఏమి నేర్చుకోవాలి,,,,చిన వీరబద్రుడు ,ఎమెస్కో,May-05,18,విజయవాడ,100,/images/books/27.JPG
28,28,మీరు ఇంటి నుండి ఏమి నేర్చుకోవాలి,,,,చిన వీరబద్రుడు ,ఎమెస్కో,Jun-05,18,విజయవాడ,150,/images/books/28.JPG
29,29,ప్రసిద్ధి తెలుగు కవులు,,,,డా.రామడుగు వెంకటేశ్వర్లు,అమరావత పబ్లికేషన్స్,Jan-15,100,విజయవాడ,100,/images/books/29.JPG
30,30,బహంరూపి గాంధీ,,,,అనుబందోపాద్యాయ,మంచి పుస్తకం,Dec-14,150,విజయవాడ,60,/images/books/30.JPG
31,31,Vedic Mathematics,,,,జగత్ గురు స్వామిశ్రీ,బాషాకుటీరం,4/21/2000,150,విజయవాడ,225,/images/books/31.JPG
32,32,ఆషామాషి,,,,రావురువెంకటసత్యనారాయణ,నవోదయ బుక్  హొస్,Dec-13,120,విజయవాడ,30,/images/books/32.JPG
33,33,పి.యస్.న్ లక్ష్మి,,,,పి.యస్.న్ లక్ష్మి,సుర్యప్రచురణలు,2013,188,విజయవాడ,120,/images/books/33.JPG
34,34,అవతలి వైపు,,,,శ్రీపాదస్వాతి,మంఛిపుస్తకం,Aug-14,234,విజయవాడ,100,/images/books/34.JPG
35,35,పాతాళానికి ప్రయాణం,,,,శ్రీనివాసచక్రవర్తి,కవీర్ణప్రఛురణలు,Dec-13,190,విజయవాడ,110,/images/books/35.JPG
36,36,అమ్మకధలు,,,,సమ్మెట ఉమాదేవి,స్నేహనికుంజ్,Jul-05,184,విజయవాడ,100,/images/books/36.JPG
37,37,జాకా మల్లి,,,,కె బి లక్ష్మి,మందా పబ్లికేషన్స్,Jul-05,189,విజయవాడ,140,/images/books/37.JPG
38,38,అనంత వాహిని,,,,డా.మందభానుమతి,జె.వి.పబ్లికేషన్స్,12/22/2014,256,విజయవాడ,100,/images/books/38.JPG
39,39,మీరు సామాన్యులు కారు,,,,ఆకెళ్ళ.రాఘవేంద్ర,శ్రీపాద స్వాతి,Jul-05,106,విజయవాడ,150,/images/books/39.JPG
40,40,చిరుజల్లు కురిసేన,,,,శ్రీపాదస్వాతి,పి.యస్.ఎన్.లక్ష్మి,Dec-12,128,విజయవాడ,149,/images/books/40.JPG
41,41,చిరుజల్లు కురిసేన ,,,,శ్రీపాద స్వాతి,శ్రీపాద స్వాతి ,Jul-05,106,విజయవాడ,100,/images/books/41.JPG
